event-id,visible,timestamp,location-long,location-lat,comments,ground-speed,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
18983123100,true,2013-03-31 17:05:00.000,9.422097,41.294907,"T01",2.4722420000000005,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123101,true,2013-03-31 17:22:00.000,9.430787,41.278805,"T01",1.833348,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123102,true,2013-03-31 17:42:00.000,9.441747,41.281892,"T01",0.805562,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123103,true,2013-03-31 18:02:00.000,9.437226,41.279167,"T01",0.41667000000000004,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123104,true,2013-03-31 18:22:00.000,9.418283,41.270938,"T01",1.5277900000000002,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123105,true,2013-03-31 18:42:00.000,9.421715,41.27048,"T01",0.25000200000000006,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123106,true,2013-03-31 19:03:00.000,9.421918,41.270909,"T01",0.027778000000000004,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123107,true,2013-03-31 19:42:00.000,9.415797,41.297517,"T01",1.3055660000000002,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123108,true,2013-03-31 20:01:00.000,9.419666,41.295538,"T01",0.333336,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123109,true,2013-03-31 20:21:00.000,9.426725,41.28532,"T01",1.083342,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123110,true,2013-03-31 20:41:00.000,9.424539,41.268403,"T01",1.5833460000000001,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123111,true,2013-03-31 21:01:00.000,9.436997,41.318527,"T01",4.7778160000000005,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123112,true,2013-03-31 21:21:00.000,9.417561,41.422998,"T01",9.750078000000002,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123113,true,2013-03-31 21:42:00.000,9.345852,41.472247,"T01",6.277828000000001,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123114,true,2013-03-31 22:12:00.000,9.331026,41.471752,"T01",0.69445,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123115,true,2013-03-31 22:32:00.000,9.332269,41.472562,"T01",0.11111200000000002,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123116,true,2013-03-31 22:52:00.000,9.333288,41.472857,"T01",0.083334,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123117,true,2013-03-31 23:12:00.000,9.334001,41.473091,"T01",0.05555600000000001,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123118,true,2013-03-31 23:33:00.000,9.334551,41.472609,"T01",0.05555600000000001,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123119,true,2013-03-31 23:53:00.000,9.335791,41.47197,"T01",0.11111200000000002,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123120,true,2013-04-01 00:11:00.000,9.337281,41.470994,"T01",0.13889,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123121,true,2013-04-01 00:29:00.000,9.338212,41.469834,"T01",0.13889,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123122,true,2013-04-01 00:49:00.000,9.339838,41.468038,"T01",0.194446,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123123,true,2013-04-01 01:09:00.000,9.34115,41.466948,"T01",0.13889,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123124,true,2013-04-01 01:29:00.000,9.341911,41.46699,"T01",0.05555600000000001,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123125,true,2013-04-01 01:50:00.000,9.342234,41.467301,"T01",0.027778000000000004,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123126,true,2013-04-01 02:10:00.000,9.342215,41.466477,"T01",0.083334,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123127,true,2013-04-01 02:30:00.000,9.342338,41.465479,"T01",0.083334,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123128,true,2013-04-01 02:49:00.000,9.34209,41.464366,"T01",0.11111200000000002,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123129,true,2013-04-01 03:10:00.000,9.341847,41.46319,"T01",0.11111200000000002,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123130,true,2013-04-01 03:30:00.000,9.340985,41.462339,"T01",0.11111200000000002,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123131,true,2013-04-01 03:50:00.000,9.34129,41.462297,"T01",0.027778000000000004,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123132,true,2013-04-01 04:10:00.000,9.340932,41.461714,"T01",0.05555600000000001,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123133,true,2013-04-01 04:29:00.000,9.340434,41.461027,"T01",0.083334,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123134,true,2013-04-01 04:46:00.000,9.340054,41.460937,"T01",0.027778000000000004,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123135,true,2013-04-01 05:04:00.000,9.339592,41.460913,"T01",0.027778000000000004,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123136,true,2013-04-01 05:24:00.000,9.339105,41.460843,"T01",0.027778000000000004,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123137,true,2013-04-01 05:41:00.000,9.338641,41.460919,"T01",0.027778000000000004,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123138,true,2013-04-01 06:01:00.000,9.338663,41.461241,"T01",0.027778000000000004,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123139,true,2013-04-01 06:21:00.000,9.32543,41.458201,"T01",0.9722300000000001,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123140,true,2013-04-01 06:41:00.000,9.311619,41.446687,"T01",1.4444560000000002,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123141,true,2013-04-01 07:01:00.000,9.307012,41.442997,"T01",0.47222600000000003,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123142,true,2013-04-01 07:21:00.000,9.301577,41.434662,"T01",0.8611180000000002,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123143,true,2013-04-01 07:42:00.000,9.297854,41.348182,"T01",7.6945060000000005,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123144,true,2013-04-01 08:03:00.000,9.268325,41.331456,"T01",2.4722420000000005,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123145,true,2013-04-01 08:23:00.000,9.258083,41.327089,"T01",0.805562,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123146,true,2013-04-01 08:46:00.000,9.207682,41.268441,"T01",5.805602,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123147,true,2013-04-01 09:05:00.000,9.071916,41.201882,"T01",11.361202,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123148,true,2013-04-01 09:25:00.000,8.975848,41.121742,"T01",10.083414,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123149,true,2013-04-01 09:45:00.000,8.855491,41.066078,"T01",9.916746000000002,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123150,true,2013-04-01 10:05:00.000,8.705727,41.029231,"T01",11.055644000000001,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123151,true,2013-04-01 10:25:00.000,8.511982,41.018545,"T01",13.638998,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123152,true,2013-04-01 10:45:00.000,8.401211,41.086383,"T01",10.00008,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123153,true,2013-04-01 11:06:00.000,8.396852,41.088655,"T01",0.36111400000000005,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123154,true,2013-04-01 11:33:00.000,8.394841,41.087366,"T01",0.13889,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
18983123155,true,2013-04-01 11:53:00.000,8.391129,41.089302,"T01",0.30555800000000005,"gps","Puffinus yelkouan","T86753","T86753","Foraging movements of yelkouan shearwater (data from Pezzo et al. 2021)"
