id,Day,Time,device_id,Longitude,Latitude,Speed_m_s,geo_dist,arc,chord,tortuosity index,birds_activity1,birds_activity2,geometry
1030,2021-04-07,00:15:43.000,210452,3.186241626739502,41.81563568115234,0.2777777777777778,0.1903784001961213,0.2959423721290815,0.267140080426537,0.9026760125786188,R,R,POINT (3.186241626739502 41.81563568115234)
1031,2021-04-07,00:25:42.000,210452,3.183984994888306,41.81531524658203,0.2777777777777778,0.1055639719329601,0.2276122490767623,0.2269563251220151,0.997118239649194,R,R,POINT (3.183984994888306 41.81531524658203)
1032,2021-04-07,00:35:42.000,210452,3.183429956436157,41.81446075439453,0.2777777777777778,0.1220482771438021,0.2233283271316414,0.2108197948250468,0.9439903908865918,R,R,POINT (3.183429956436157 41.81446075439453)
1033,2021-04-07,00:45:43.000,210452,3.18299674987793,41.81341171264648,1.3888888888888888,0.1012800499878393,1.225613105448435,1.1378510675190012,0.928393358769346,R,R,POINT (3.18299674987793 41.81341171264648)
1034,2021-04-07,00:55:43.000,210452,3.183446645736694,41.81256484985352,0.8333333333333333,1.1243330554605957,2.709993342944572,2.17636378980269,0.8030882420684988,R,R,POINT (3.183446645736694 41.81256484985352)
1035,2021-04-07,01:05:43.000,210452,3.171329975128174,41.80801773071289,7.222222222222222,1.585660287483976,2.814378960536557,2.4844443657008344,0.882768241426584,F,T,POINT (3.171329975128174 41.80801773071289)
1036,2021-04-07,01:15:43.000,210452,3.158448219299316,41.81856155395508,5.555555555555555,1.2287186730525812,1.3402028726267357,1.1512897261337378,0.8590413807107152,F,R,POINT (3.158448219299316 41.81856155395508)
1037,2021-04-07,01:25:45.000,210452,3.162090063095093,41.82927322387695,0.5555555555555556,0.1114841995741543,0.1839098880767824,0.1826140302369113,0.9929538435729456,R,R,POINT (3.162090063095093 41.82927322387695)
1038,2021-04-07,01:35:45.000,210452,3.160944938659668,41.8287467956543,0.0,0.072425688502628,0.1549885469729487,0.1451297446858165,0.9363901237886116,R,R,POINT (3.160944938659668 41.8287467956543)
1039,2021-04-07,01:45:48.000,210452,3.160333395004272,41.82828140258789,0.2777777777777778,0.0825628584703206,0.1780484062340061,0.1698438740097474,0.9539196536616248,R,R,POINT (3.160333395004272 41.82828140258789)
1040,2021-04-07,01:55:48.000,210452,3.159339904785156,41.828224182128906,0.0,0.0954855477636855,0.1804413028723032,0.1723207223395827,0.9549959992337927,R,R,POINT (3.159339904785156 41.828224182128906)
1041,2021-04-07,02:06:00.000,210452,3.15844988822937,41.82767868041992,0.2777777777777778,0.0849557551086177,0.1644500989006989,0.1481533261227998,0.9009014109031356,R,R,POINT (3.15844988822937 41.82767868041992)
1042,2021-04-07,02:15:43.000,210452,3.15742826461792,41.827613830566406,0.2777777777777778,0.0794943437920811,0.2217002817629659,0.2145144686303992,0.9675877131259152,R,R,POINT (3.15742826461792 41.827613830566406)
1043,2021-04-07,02:25:42.000,210452,3.156896591186523,41.82701873779297,0.2777777777777778,0.1422059379708848,0.2997465955411796,0.2997373098642675,0.9999690215767242,R,R,POINT (3.156896591186523 41.82701873779297)
1044,2021-04-07,02:35:43.000,210452,3.155351638793945,41.82646179199219,0.5555555555555556,0.1575406575702948,0.3044623710548008,0.3037323956433579,0.9976024117236102,R,R,POINT (3.155351638793945 41.82646179199219)
1045,2021-04-07,02:45:43.000,210452,3.153653383255005,41.82582473754883,0.0,0.1469217134845059,0.2902268696629491,0.2902157080532198,0.9999615417768096,R,R,POINT (3.153653383255005 41.82582473754883)
1046,2021-04-07,02:55:44.000,210452,3.152194976806641,41.8250732421875,1.3888888888888888,0.1433051561784431,0.2905061170769878,0.2904384025968636,0.9997669085910976,R,R,POINT (3.152194976806641 41.8250732421875)
1047,2021-04-07,03:05:43.000,210452,3.150789976119995,41.82432174682617,0.8333333333333333,0.1472009608985447,0.2934274605498553,0.2919190482533924,0.9948593349319236,R,R,POINT (3.150789976119995 41.82432174682617)
1048,2021-04-07,03:15:43.000,210452,3.149303436279297,41.8235969543457,0.0,0.1462264996513106,0.284331160819914,0.2842685242585046,0.9997797056037446,R,R,POINT (3.149303436279297 41.8235969543457)
1049,2021-04-07,03:25:43.000,210452,3.148051738739014,41.82266998291016,0.2777777777777778,0.1381046611686033,0.2781006699611514,0.2759520902056472,0.9922740935654548,R,R,POINT (3.148051738739014 41.82266998291016)
1050,2021-04-07,03:35:43.000,210452,3.146919965744019,41.82175827026367,0.5555555555555556,0.139996008792548,1.4765434370593302,1.4765130268916615,0.9999794044882762,R,R,POINT (3.146919965744019 41.82175827026367)
1051,2021-04-07,03:45:44.000,210452,3.146113395690918,41.82065200805664,0.0,1.3365474282667822,4.382799720806733,4.077439367225602,0.9303275593152306,R,R,POINT (3.146113395690918 41.82065200805664)
1052,2021-04-07,03:55:45.000,210452,3.138726711273193,41.809967041015625,11.38888888888889,3.046252292539951,4.837912275881249,4.613325127213507,0.9535776723800076,F,T,POINT (3.138726711273193 41.809967041015625)
1053,2021-04-07,04:05:44.000,210452,3.103364944458008,41.8025016784668,11.666666666666666,1.7916599833412978,2.4297850794696334,1.9723984244855288,0.8117583901355006,F,T,POINT (3.103364944458008 41.8025016784668)
1054,2021-04-07,04:15:45.000,210452,3.090108394622803,41.78977584838867,0.8333333333333333,0.6381250961283353,0.8223532330230323,0.7113088758397051,0.8649675677991564,R,F,POINT (3.090108394622803 41.78977584838867)
1055,2021-04-07,04:26:03.000,210452,3.095580101013184,41.78573989868164,0.5555555555555556,0.184228136894697,0.3789174480601118,0.3783079829035743,0.998391562173614,R,F,POINT (3.095580101013184 41.78573989868164)
1056,2021-04-07,04:35:42.000,210452,3.094513416290283,41.78428649902344,0.5555555555555556,0.1946893111654148,1.4561622593564334,1.3670371368161012,0.9387945114167964,R,F,POINT (3.094513416290283 41.78428649902344)
1057,2021-04-07,04:45:42.000,210452,3.093626737594604,41.78266525268555,0.5555555555555556,1.2614729481910183,1.7965050599720165,1.4713863342126174,0.8190271026765362,R,F,POINT (3.093626737594604 41.78266525268555)
1058,2021-04-07,04:55:45.000,210452,3.078526735305786,41.781280517578125,0.5555555555555556,0.5350321117809977,1.99264012259802,0.9962683057037528,0.4999740266219322,R,F,POINT (3.078526735305786 41.781280517578125)
1059,2021-04-07,05:05:43.000,210452,3.077933311462402,41.7764892578125,7.222222222222222,1.4576080108170222,2.397579243210162,1.5588496079875092,0.650176469621224,F,T,POINT (3.077933311462402 41.7764892578125)
1060,2021-04-07,05:15:44.000,210452,3.072119951248169,41.78886032104492,8.88888888888889,0.9399712323931398,5.578379836687574,3.911748025091867,0.7012337165291799,F,T,POINT (3.072119951248169 41.78886032104492)
1061,2021-04-07,05:25:44.000,210452,3.083369970321655,41.78990936279297,9.166666666666666,4.638408604294434,11.486044677665738,11.484318116275672,0.9998496818148876,T,T,POINT (3.083369970321655 41.78990936279297)
